lstm_model_index,meta_importance
0,0.02005401022567845
1,0.03480899525315175
2,0.027472470284486527
3,0.025074447423426127
4,0.020176688813798225
5,0.036818571613541295
6,0.032617598164385656
7,0.023319555829506
8,0.032491882597614076
9,0.029494285401300675
10,0.018609501025559604
11,0.01696722001158303
12,0.02351757658647384
13,0.022069660414307548
14,0.025828639860683355
15,0.03398463030400034
16,0.02177881586704467
17,0.023232189167568022
18,0.02315242488738006
19,0.019197515692715827
20,0.030394375322230625
21,0.03375163369314074
22,0.023499933440474127
23,0.02123609017385152
24,0.10730123026582382
25,0.021624521584089864
26,0.02178716805264177
27,0.022490739326244215
28,0.033976473317492144
29,0.022492412945787566
30,0.02180707576373321
31,0.02357945051705014
32,0.0242529297585607
33,0.021934360664658224
34,0.02705696322803186
35,0.03214796252198435
